Kecamatan,Tahun,N (mg/kg),P (mg/kg),K (mg/kg),pH Tanah,Jenis Tanah,Indeks Kualitas Tanah,Curah Hujan (mm/thn),Kelembapan (%),Suhu (°C),Kecepatan Angin (km/jam),Matahari (jam/hari),Ketinggian (mdpl)
Sidoarjo,2014,680,13,78,6.2,Aluvial,74,1780,80,27,10,7,4
Buduran,2014,683,14,80,6.1,Aluvial,75,1790,81,27,10,7,3
Candi,2014,690,13,81,6.0,Aluvial,73,1760,78,27,11,6,3
Gedangan,2014,678,13,78,6.2,Latosol,72,1750,78,27,10,7,5
Jabon,2014,676,12,77,6.1,Grumusol,73,1750,78,27,9,7,4
Krian,2014,700,15,80,6.1,Grumusol,75,1800,79,28,9,7,8
Krembung,2014,719,16,81,6.3,Aluvial,76,1850,83,28,10,7,8
Porong,2014,704,14,78,6.2,Grumusol,75,1820,81,26,10,7,6
Prambon,2014,697,14,78,6.2,Grumusol,74,1800,80,28,9,7,7
Sedati,2014,698,14,79,6.3,Aluvial,74,1800,82,27,10,7,6
Sukodono,2014,699,15,80,6.1,Latosol,75,1800,80,27,9,7,6
Taman,2014,720,16,75,6.3,Latosol,76,1850,82,27,10,7,5
Tanggulangin,2014,710,15,80,6.2,Latosol,75,1820,81,28,10,7,5
Tarik,2014,681,14,80,6.1,Latosol,73,1760,78,27,11,6,6
Tulangan,2014,692,14,80,6.1,Latosol,73,1790,80,27,10,7,7
Waru,2014,700,15,77,6.3,Aluvial,76,1800,82,28,9,7,4
Wonoayu,2014,689,13,78,6.2,Grumusol,74,1780,79,27,10,7,5
Balongbendo,2014,710,15,77,6.3,Aluvial,76,1820,82,28,10,7,7
Sidoarjo,2018,682,14,78,6.2,Aluvial,75,1783,81,27,10,7,4
Buduran,2018,685,14,81,6.2,Aluvial,76,1793,82,27,10,7,3
Candi,2018,692,13,82,6.1,Aluvial,74,1762,79,27,10,6,3
Gedangan,2018,680,14,79,6.2,Latosol,73,1752,79,27,10,7,5
Jabon,2018,678,13,77,6.2,Grumusol,74,1751,78,27,9,7,4
Krian,2018,702,15,80,6.2,Grumusol,76,1802,80,28,9,7,8
Krembung,2018,721,16,82,6.3,Aluvial,77,1852,84,28,10,7,8
Porong,2018,706,14,79,6.2,Grumusol,76,1822,82,26,10,7,6
Prambon,2018,699,14,79,6.2,Grumusol,75,1802,81,28,9,7,7
Sedati,2018,700,14,80,6.3,Aluvial,75,1802,83,27,10,7,6
Sukodono,2018,701,15,81,6.2,Latosol,76,1802,81,27,9,7,6
Taman,2018,722,16,76,6.3,Latosol,77,1852,83,27,10,7,5
Tanggulangin,2018,712,15,81,6.2,Latosol,76,1822,82,28,10,7,5
Tarik,2018,683,14,81,6.2,Latosol,74,1762,79,27,11,6,6
Tulangan,2018,694,14,81,6.2,Latosol,74,1792,81,27,10,7,7
Waru,2018,702,15,78,6.3,Aluvial,77,1802,83,28,9,7,4
Wonoayu,2018,691,13,79,6.2,Grumusol,75,1782,80,27,10,7,5
Balongbendo,2018,712,15,78,6.3,Aluvial,77,1822,83,28,10,7,7
